P-3_normalized_wavelength_nm,P-3_normalized_abs_au,D-3_310nm_normalized_wavelength_nm,D-3_310nm_normalized_abs_au,P-3_plus_2M_HCl_normalized_wavelength_nm,P-3_plus_2M_HCl_normalized_abs_au,P-3_sat_NaHCO3_normalized_wavelength_nm,P-3_sat_NaHCO3_normalized_abs_au,D-3_310nm_repeat_normalized_wavelength_nm,D-3_310nm_repeat_normalized_abs_au,P-3_plus_2M_HCl_repeat_normalized_wavelength_nm,P-3_plus_2M_HCl_repeat_normalized_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-3_310nm_raw_wavelength_nm,D-3_310nm_raw_abs_au,P-3_plus_2M_HCl_raw_wavelength_nm,P-3_plus_2M_HCl_raw_abs_au,P-3_sat_NaHCO3_raw_wavelength_nm,P-3_sat_NaHCO3_raw_abs_au,D-3_310nm_repeat_raw_wavelength_nm,D-3_310nm_repeat_raw_abs_au,P-3_plus_2M_HCl_repeat_raw_wavelength_nm,P-3_plus_2M_HCl_repeat_raw_abs_au
789.98322,0.00596,789.98322,0.00964,789.98322,0.01436,789.98322,0.00233,789.98322,0.00205,789.98322,-6.31E-04,789.98322,0.001,789.98322,0.00162,789.98322,0.00242,789.98322,3.92E-04,789.98322,3.45E-04,789.98322,-1.06E-04
789.4953,-0.00222,789.4953,-0.00267,789.4953,-0.00445,789.4953,-9.01E-04,789.4953,-8.55E-04,789.4953,-0.00467,789.4953,-3.75E-04,789.4953,-4.49E-04,789.4953,-7.49E-04,789.4953,-1.52E-04,789.4953,-1.44E-04,789.4953,-7.87E-04
789.00732,-0.00474,789.00732,0.00155,789.00732,0.00916,789.00732,0.02254,789.00732,0.01058,789.00732,0.00914,789.00732,-7.98E-04,789.00732,2.62E-04,789.00732,0.00154,789.00732,0.0038,789.00732,0.00178,789.00732,0.00154
788.48438,-3.14E-04,788.48438,-5.56E-04,788.48438,-0.00288,788.48438,0.00631,788.48438,-0.00275,788.48438,-0.00143,788.48438,-5.29E-05,788.48438,-9.36E-05,788.48438,-4.84E-04,788.48438,0.00106,788.48438,-4.63E-04,788.48438,-2.41E-04
787.99615,0.00906,787.99615,0.00711,787.99615,-0.00295,787.99615,0.0056,787.99615,0.00196,787.99615,0.01039,787.99615,0.00153,787.99615,0.0012,787.99615,-4.98E-04,787.99615,9.44E-04,787.99615,3.31E-04,787.99615,0.00175
787.50787,-0.00225,787.50787,0.00712,787.50787,-0.00325,787.50787,0.00704,787.50787,0.01513,787.50787,0.00102,787.50787,-3.78E-04,787.50787,0.0012,787.50787,-5.48E-04,787.50787,0.00119,787.50787,0.00255,787.50787,1.72E-04
786.98468,0.00825,786.98468,-0.01044,786.98468,0.00564,786.98468,-0.00165,786.98468,0.00471,786.98468,0.00874,786.98468,0.00139,786.98468,-0.00176,786.98468,9.50E-04,786.98468,-2.78E-04,786.98468,7.93E-04,786.98468,0.00147
786.49622,0.00235,786.49622,0.01723,786.49622,0.02254,786.49622,0.01265,786.49622,0.01792,786.49622,0.01533,786.49622,3.96E-04,786.49622,0.0029,786.49622,0.0038,786.49622,0.00213,786.49622,0.00302,786.49622,0.00258
786.00763,-0.00869,786.00763,-0.01211,786.00763,-0.01102,786.00763,-0.0085,786.00763,-0.00543,786.00763,-0.00772,786.00763,-0.00146,786.00763,-0.00204,786.00763,-0.00186,786.00763,-0.00143,786.00763,-9.15E-04,786.00763,-0.0013
785.48413,-0.00784,785.48413,-0.00678,785.48413,0.00517,785.48413,0.00775,785.48413,0.00887,785.48413,3.91E-04,785.48413,-0.00132,785.48413,-0.00114,785.48413,8.71E-04,785.48413,0.00131,785.48413,0.00149,785.48413,6.58E-05
784.99542,0.00542,784.99542,-8.97E-05,784.99542,0.02137,784.99542,0.00924,784.99542,0.02588,784.99542,0.01338,784.99542,9.13E-04,784.99542,-1.51E-05,784.99542,0.0036,784.99542,0.00156,784.99542,0.00436,784.99542,0.00225
784.50653,0.00196,784.50653,0.02096,784.50653,0.01637,784.50653,0.01354,784.50653,0.02174,784.50653,-4.38E-04,784.50653,3.30E-04,784.50653,0.00353,784.50653,0.00276,784.50653,0.00228,784.50653,0.00366,784.50653,-7.38E-05
783.98267,-0.00224,783.98267,-0.00489,783.98267,0.00832,783.98267,0.01571,783.98267,0.00121,783.98267,0.00284,783.98267,-3.77E-04,783.98267,-8.23E-04,783.98267,0.0014,783.98267,0.00265,783.98267,2.04E-04,783.98267,4.78E-04
783.49365,0.01526,783.49365,-0.0095,783.49365,0.01075,783.49365,0.01071,783.49365,0.0066,783.49365,0.00299,783.49365,0.00257,783.49365,-0.0016,783.49365,0.00181,783.49365,0.0018,783.49365,0.00111,783.49365,5.04E-04
783.00452,-9.49E-04,783.00452,0.00204,783.00452,0.02412,783.00452,0.00904,783.00452,0.00852,783.00452,4.98E-04,783.00452,-1.60E-04,783.00452,3.44E-04,783.00452,0.00406,783.00452,0.00152,783.00452,0.00143,783.00452,8.39E-05
782.51532,0.00163,782.51532,-0.00939,782.51532,0.00605,782.51532,0.0031,782.51532,-0.00727,782.51532,8.78E-04,782.51532,2.75E-04,782.51532,-0.00158,782.51532,0.00102,782.51532,5.22E-04,782.51532,-0.00122,782.51532,1.48E-04
781.99103,0.00136,781.99103,0.01449,781.99103,0.0207,781.99103,0.00862,781.99103,0.01321,781.99103,-5.33E-04,781.99103,2.30E-04,781.99103,0.00244,781.99103,0.00349,781.99103,0.00145,781.99103,0.00223,781.99103,-8.97E-05
781.50159,-0.00734,781.50159,0.0081,781.50159,0.02064,781.50159,0.01386,781.50159,0.01375,781.50159,0.00553,781.50159,-0.00124,781.50159,0.00136,781.50159,0.00348,781.50159,0.00233,781.50159,0.00232,781.50159,9.32E-04
781.01215,0.00361,781.01215,0.0038,781.01215,0.01148,781.01215,0.00895,781.01215,-0.00172,781.01215,0.002,781.01215,6.08E-04,781.01215,6.40E-04,781.01215,0.00193,781.01215,0.00151,781.01215,-2.90E-04,781.01215,3.36E-04
780.48761,0.0096,780.48761,-0.00222,780.48761,0.01094,780.48761,0.00554,780.48761,0.00739,780.48761,0.00549,780.48761,0.00162,780.48761,-3.74E-04,780.48761,0.00184,780.48761,9.32E-04,780.48761,0.00124,780.48761,9.25E-04
779.99792,-0.01116,779.99792,-0.00521,779.99792,0.01112,779.99792,0.00684,779.99792,0.0096,779.99792,0.00503,779.99792,-0.00188,779.99792,-8.77E-04,779.99792,0.00187,779.99792,0.00115,779.99792,0.00162,779.99792,8.47E-04
