D-2_smoothed_normalized_wavelength_nm,D-2_smoothed_normalized_abs_au,P-2_smoothed_normalized_wavelength_nm,P-2_smoothed_normalized_abs_au,D-3_smoothed_normalized_wavelength_nm,D-3_smoothed_normalized_abs_au,P-3_smoothed_normalized_wavelength_nm,P-3_smoothed_normalized_abs_au,D-4_smoothed_normalized_wavelength_nm,D-4_smoothed_normalized_abs_au,P-4_smoothed_normalized_wavelength_nm,P-4_smoothed_normalized_abs_au,D-2_raw_wavelength_nm,D-2_raw_abs_au,P-2_raw_wavelength_nm,P-2_raw_abs_au,D-3_raw_wavelength_nm,D-3_raw_abs_au,P-3_raw_wavelength_nm,P-3_raw_abs_au,D-4_raw_wavelength_nm,D-4_raw_abs_au,P-4_raw_wavelength_nm,P-4_raw_abs_au
794.9942,7.91E-04,794.9942,-0.00135,794.99207,-4.78E-04,794.99207,-0.00176,795.0083,0.01054,795.0083,0.00937,794.9942,4.58E-04,794.9942,2.13E-04,794.99207,-5.93E-04,794.99207,-0.00226,795.0083,0.00939,795.0083,0.00948
794.50769,-0.00118,794.50769,1.55E-04,794.50537,-6.01E-04,794.50537,-0.00176,794.48718,0.00996,794.48718,0.0093,794.50769,3.84E-04,794.50769,7.54E-05,794.50537,-1.70E-04,794.50537,-0.00127,794.48718,0.00852,794.48718,0.00829
793.98633,-0.00118,793.98633,1.55E-04,793.98395,-9.35E-04,793.98395,-0.00129,794.00079,0.00956,794.00079,0.0093,793.98633,-5.73E-04,793.98633,-0.00157,793.98395,-3.20E-04,793.98395,-3.48E-04,794.00079,0.00991,794.00079,0.00871
793.49963,-0.00234,793.49963,-0.00158,793.49707,-0.00136,793.49707,-0.00129,793.51428,0.00956,793.51428,0.00892,793.49963,-0.00146,793.49963,0.00537,793.49707,-9.22E-04,793.49707,-4.89E-04,793.51428,0.00888,793.51428,0.00792
793.01282,-0.00234,793.01282,-0.00158,793.01019,-0.00136,793.01019,-0.00217,792.9928,0.00857,792.9928,0.00892,793.01282,-4.47E-05,793.01282,7.69E-04,793.01019,-0.0017,793.01019,-0.0011,792.9928,0.00764,792.9928,0.00886
792.49121,-0.00234,792.49121,-0.00141,792.48828,-0.00136,792.48828,-0.00217,792.50623,0.00857,792.50623,0.00892,792.49121,-0.00114,792.49121,-7.69E-04,792.48828,-0.00134,792.48828,-0.00214,792.50623,0.00876,792.50623,0.00795
792.00427,-2.35E-04,792.00427,-0.00141,792.00128,-0.00136,792.00128,-0.0022,791.98462,0.00857,791.98462,0.00964,792.00427,0.00167,792.00427,-3.21E-04,792.00128,-3.05E-04,792.00128,-0.00264,791.98462,0.00757,791.98462,0.00953
791.51715,-2.35E-04,791.51715,-0.00141,791.51404,-3.10E-04,791.51404,-0.0022,791.49768,0.00982,791.49768,0.00964,791.51715,2.33E-07,791.51715,-6.84E-04,791.51404,0.00285,791.51404,-0.00133,791.49768,0.0093,791.49768,0.00859
790.9953,-2.35E-04,790.9953,-0.00141,790.99188,-3.10E-04,790.99188,-0.0022,791.01068,0.00998,791.01068,0.00964,790.9953,-1.14E-04,790.9953,8.02E-04,790.99188,0.00217,790.99188,-0.00217,791.01068,0.01018,791.01068,0.00913
790.50806,-7.25E-04,790.50806,-0.00255,790.50446,-0.00113,790.50446,-0.00192,790.48889,0.00998,790.48889,0.00964,790.50806,8.84E-04,790.50806,3.61E-04,790.50446,7.98E-04,790.50446,-0.00189,790.48889,0.00906,790.48889,0.00874
789.98584,-7.25E-04,789.98584,-0.00255,790.01697,-0.00187,790.01697,-0.00192,790.00171,0.00998,790.00171,0.00948,789.98584,-3.53E-04,789.98584,-0.00128,790.01697,-0.00112,790.01697,-0.00155,790.00171,0.0089,790.00171,0.00845
789.49835,-0.00317,789.49835,-0.00262,789.49457,-0.00187,789.49457,-0.00165,789.5144,0.00969,789.5144,0.00948,789.49835,-0.00154,789.49835,-0.00124,789.49457,-0.00184,789.49457,-7.94E-04,789.5144,0.00863,789.5144,0.00916
789.0108,-0.00317,789.0108,-0.00262,789.00684,-0.00187,789.00684,-0.00165,788.99219,0.00905,788.99219,0.00871,789.0108,8.90E-04,789.0108,-2.20E-04,789.00684,-0.00218,789.00684,-0.00163,788.99219,0.00935,788.99219,0.00771
788.4884,-0.00317,788.4884,-0.00255,788.48413,-0.00187,788.48413,-0.00165,788.50476,0.00905,788.50476,0.00871,788.4884,-0.00172,788.4884,-0.00168,788.48413,-0.00133,788.48413,-0.00124,788.50476,0.00807,788.50476,0.00885
788.00067,9.83E-04,788.00067,-4.53E-04,787.99634,-0.00149,787.99634,-0.00236,788.01721,0.00905,788.01721,0.00871,788.00067,0.00177,788.00067,9.22E-04,787.99634,-0.00145,787.99634,-0.00241,788.01721,0.00771,788.01721,0.00776
787.51282,9.83E-04,787.51282,-2.85E-04,787.50836,-0.00147,787.50836,-0.00236,787.49469,0.00905,787.49469,0.00961,787.51282,6.80E-04,787.51282,-1.39E-04,787.50836,-0.00104,787.50836,-0.00126,787.49469,0.00959,787.49469,0.00856
786.99011,9.83E-04,786.99011,-2.85E-04,786.98541,-0.00149,786.98541,-0.00236,787.0069,0.0101,787.0069,0.00961,786.99011,4.78E-04,786.99011,-8.96E-05,786.98541,-0.00147,786.98541,-0.00233,787.0069,0.00977,787.0069,0.01138
786.50201,9.83E-04,786.50201,-2.85E-04,786.49719,-0.00149,786.49719,-0.00153,786.48425,0.01041,786.48425,0.00961,786.50201,0.00121,786.50201,-1.14E-04,786.49719,-2.16E-04,786.49719,-0.00126,786.48425,0.00928,786.48425,0.00967
786.01392,9.83E-04,786.01392,-4.90E-04,786.00891,-0.00149,786.00891,-0.00204,785.99634,0.01041,785.99634,0.00998,786.01392,-5.72E-04,786.01392,-9.03E-04,786.00891,-0.0016,786.00891,-0.00131,785.99634,0.009,785.99634,0.00889
785.49078,0.00248,785.49078,-0.00103,785.48572,-0.00163,785.48572,-0.00153,785.50824,0.01041,785.50824,0.00938,785.49078,0.00208,785.49078,4.94E-04,785.48572,-0.00137,785.48572,-0.0015,785.50824,0.00995,785.50824,0.00836
785.0025,-0.00118,785.0025,-0.00186,784.99725,-0.00168,784.99725,-0.00153,784.98523,0.01059,784.98523,0.00923,785.0025,0.00387,785.0025,-2.39E-04,784.99725,2.19E-04,784.99725,-0.00201,784.98523,0.00991,784.98523,0.01013
784.51416,-2.07E-04,784.51416,-0.00296,784.50867,-0.00168,784.50867,-0.00153,784.49701,0.01059,784.49701,0.00905,784.51416,0.00264,784.51416,-5.00E-04,784.50867,-0.00166,784.50867,-0.00106,784.49701,0.00993,784.49701,0.00822
783.99072,-2.07E-04,783.99072,-0.00296,783.98517,-0.00168,783.98517,-0.00204,784.00873,0.01059,784.00873,0.00891,783.99072,-0.00179,783.99072,-0.00213,783.98517,-0.00186,783.98517,-0.00135,784.00873,0.00944,784.00873,0.00777
783.50214,-2.07E-04,783.50214,-0.00296,783.49646,-0.00168,783.49646,-0.00175,783.48535,0.01045,783.48535,0.00891,783.50214,-1.01E-04,783.50214,-0.00144,783.49646,-3.96E-05,783.49646,-5.66E-04,783.48535,0.0079,783.48535,0.00807
783.01343,-0.00323,783.01343,-0.00296,783.00757,-0.00111,783.00757,-0.00175,782.99683,0.01045,782.99683,0.00891,783.01343,0.00103,783.01343,0.00105,783.00757,-4.07E-04,783.00757,-0.00241,782.99683,0.00949,782.99683,0.00794
782.48981,-0.00171,782.48981,-0.00176,782.48364,-0.00111,782.48364,-0.00175,782.50824,0.01045,782.50824,0.00905,782.48981,-9.16E-05,782.48981,-8.57E-04,782.48364,-5.17E-04,782.48364,-0.00172,782.50824,0.00931,782.50824,0.00892
782.00098,-0.00171,782.00098,-0.00176,781.99463,-0.00128,781.99463,-0.00175,781.98462,0.01065,781.98462,0.01001,782.00098,-0.00157,782.00098,-7.94E-04,781.99463,-0.00109,781.99463,-9.49E-04,781.98462,0.00989,781.98462,0.00999
781.51196,-0.00171,781.51196,-0.00198,781.50549,-0.00128,781.50549,-0.00167,781.49579,0.01045,781.49579,0.01032,781.51196,-8.30E-04,781.51196,-7.68E-04,781.50549,-0.00168,781.50549,-0.00119,781.49579,0.01127,781.49579,0.00931
780.98792,-0.00171,780.98792,-0.00198,781.01636,-0.00128,781.01636,-0.00141,781.00696,0.01093,781.00696,0.01044,780.98792,7.26E-04,780.98792,-9.89E-04,781.01636,-0.00126,781.01636,-0.00165,781.00696,0.00974,781.00696,0.00951
780.49884,-3.68E-04,780.49884,-0.00198,780.49207,-0.00128,780.49207,-0.00167,780.48309,0.01059,780.48309,0.01044,780.49884,-1.79E-04,780.49884,-9.64E-04,780.49207,-5.90E-04,780.49207,-0.00139,780.48309,0.00813,780.48309,0.0092
780.00958,-3.68E-04,780.00958,-0.00198,780.00262,-0.00128,780.00262,-0.00174,779.99396,0.01059,779.99396,0.01032,780.00958,0.00155,780.00958,0.00142,780.00262,-7.93E-05,780.00262,-9.49E-04,779.99396,0.00985,779.99396,0.00931
779.48523,-4.18E-04,779.48523,-0.00198,779.51312,-0.0017,779.51312,-0.00175,779.50476,0.01059,779.50476,0.01032,779.48523,0.00217,779.48523,-2.08E-04,779.51312,-6.06E-04,779.51312,-0.00215,779.50476,0.00944,779.50476,0.00966
778.99585,-4.18E-04,778.99585,-0.00235,778.98865,-0.0017,778.98865,-0.00175,779.0155,0.01106,779.0155,0.01044,778.99585,-2.03E-04,778.99585,-7.24E-05,778.98865,-0.00167,778.98865,-0.00172,779.0155,0.0099,779.0155,0.00877
778.50629,-4.18E-04,778.50629,-0.00235,778.49896,-0.0017,778.49896,-0.00175,778.49115,0.0111,778.49115,0.01066,778.50629,-9.64E-04,778.50629,-0.00114,778.49896,-0.00251,778.49896,-0.00172,778.49115,0.00989,778.49115,0.0095
778.01666,-4.18E-04,778.01666,-0.00235,778.00909,-0.0017,778.00909,-0.00174,778.00171,0.0111,778.00171,0.00984,778.01666,-4.15E-05,778.01666,-0.00139,778.00909,-0.00151,778.00909,-8.34E-04,778.00171,0.01003,778.00171,0.01019
777.492,-8.54E-05,777.492,-0.00235,777.48431,-0.00165,777.48431,-0.00175,777.51215,0.0111,777.51215,0.0097,777.492,3.65E-04,777.492,0.00204,777.48431,-5.75E-04,777.48431,-0.00147,777.51215,0.01029,777.51215,0.00955
777.0022,2.02E-04,777.0022,-0.00108,776.99426,-0.00154,776.99426,-0.00183,776.98755,0.011,776.98755,0.00939,777.0022,0.00127,777.0022,-5.23E-04,776.99426,-0.00132,776.99426,0.00101,776.98755,0.0098,776.98755,0.00865
776.51227,2.02E-04,776.51227,2.11E-04,776.50421,-0.00144,776.50421,-0.00183,776.4978,0.01034,776.4978,0.00939,776.51227,6.16E-04,776.51227,7.62E-04,776.50421,-0.00163,776.50421,-0.00181,776.4978,0.01032,776.4978,0.00837
775.98724,-5.86E-04,775.98724,-4.96E-04,776.0141,-0.00165,776.0141,-0.00224,776.008,0.01029,776.008,0.00897,775.98724,9.81E-05,775.98724,6.86E-04,776.0141,-0.00142,776.0141,-0.00227,776.008,0.00922,776.008,0.00768
775.49719,-5.86E-04,775.49719,1.74E-04,775.48883,-0.00165,775.48883,-0.0023,775.48309,0.01029,775.48309,0.00883,775.49719,-2.85E-04,775.49719,1.03E-04,775.48883,-6.96E-04,775.48883,-0.00126,775.48309,0.00882,775.48309,0.00901
775.00696,-5.86E-04,775.00696,-3.93E-04,774.99847,-0.00197,774.99847,-0.0023,774.99304,0.0099,774.99304,0.00883,775.00696,-6.35E-04,775.00696,-2.41E-04,774.99847,-0.00163,774.99847,-0.00221,774.99304,0.00918,774.99304,0.00799
774.51672,-5.86E-04,774.51672,-3.93E-04,774.508,-0.00197,774.508,-0.00224,774.50287,0.00955,774.50287,0.00897,774.51672,0.00126,774.51672,8.47E-05,774.508,-0.00247,774.508,-0.00263,774.50287,0.00943,774.50287,0.00787
773.99127,8.07E-04,773.99127,-4.96E-04,774.01752,-0.00197,774.01752,-0.00224,774.0127,0.00955,774.0127,0.00897,773.99127,9.52E-04,773.99127,-1.91E-04,774.01752,-0.00194,774.01752,-0.00168,774.0127,0.00851,774.0127,0.00877
773.50085,0.00111,773.50085,-3.93E-04,773.49182,-0.00197,773.49182,-0.00214,773.48737,0.00955,773.48737,0.00952,773.50085,3.92E-04,773.50085,0.0017,773.49182,-0.00165,773.49182,-0.0021,773.48737,0.00811,773.48737,0.00901
773.01025,8.07E-04,773.01025,-0.00127,773.0011,-0.00197,773.0011,-0.00198,772.99695,0.00955,772.99695,0.00975,773.01025,5.38E-04,773.01025,-6.20E-04,773.0011,-0.00163,773.0011,-0.00187,772.99695,0.01002,772.99695,0.01007
772.48456,-4.23E-04,772.48456,-0.00143,772.51031,-0.00167,772.51031,-0.00198,772.50653,0.0096,772.50653,0.00952,772.48456,6.49E-04,772.48456,2.39E-04,772.51031,-0.00141,772.51031,-0.00119,772.50653,0.00953,772.50653,0.00849
771.99384,-4.23E-04,771.99384,-0.00143,771.98438,-0.00165,771.98438,-0.0019,772.01593,0.01069,772.01593,0.00952,771.99384,-2.06E-04,771.99384,-6.95E-04,771.98438,-0.00211,771.98438,-0.00195,772.01593,0.00968,772.01593,0.00869
771.50299,-4.23E-04,771.50299,-0.00179,771.49335,-0.00143,771.49335,-0.0014,771.49023,0.01049,771.49023,0.00952,771.50299,-3.17E-04,771.50299,-0.0016,771.49335,-2.21E-04,771.49335,-0.00138,771.49023,0.00856,771.49023,0.00814
771.01208,-4.23E-04,771.01208,-0.00179,771.00226,-0.00156,771.00226,-0.00154,770.99945,0.01049,770.99945,0.00975,771.01208,8.77E-04,771.01208,1.44E-04,771.00226,7.76E-05,771.00226,-0.00109,770.99945,0.01214,770.99945,0.009
770.48596,5.77E-04,770.48596,-0.00179,770.51105,-0.00156,770.51105,-0.00148,770.50861,0.0096,770.50861,0.00913,770.48596,8.54E-04,770.48596,-8.72E-04,770.51105,-1.99E-04,770.51105,-6.22E-04,770.50861,0.00935,770.50861,0.00996
769.99481,5.77E-04,769.99481,-0.00165,769.98468,-0.00203,769.98468,-0.00154,769.98254,0.00981,769.98254,0.0101,769.99481,2.81E-04,769.99481,1.45E-04,769.98468,-0.00154,769.98468,-0.00152,769.98254,0.00953,769.98254,0.00908
769.5036,5.77E-04,769.5036,-0.00165,769.49335,-0.00204,769.49335,-0.002,769.49158,0.00981,769.49158,0.00935,769.5036,4.63E-04,769.5036,4.44E-05,769.49335,-0.00209,769.49335,-0.00146,769.49158,0.0085,769.49158,0.00809
769.01233,5.77E-04,769.01233,-8.08E-04,769.00189,-0.00204,769.00189,-0.002,769.00043,0.00981,769.00043,0.00935,769.01233,-3.39E-04,769.01233,-8.01E-04,769.00189,-0.002,769.00189,-0.00197,769.00043,0.00874,769.00043,0.00926
768.48584,7.86E-04,768.48584,-8.08E-04,768.51038,-0.00204,768.51038,-0.00262,768.50916,0.00954,768.50916,0.00935,768.48584,3.82E-04,768.48584,-3.93E-04,768.51038,-0.00201,768.51038,-0.00296,768.50916,0.0089,768.50916,0.00833
