P-1_temperature_C,P-1_weight_mg,P-1_weight_percent,P-2_temperature_C,P-2_weight_mg,P-2_weight_percent,P-3_temperature_C,P-3_weight_mg,P-3_weight_percent,P-4_temperature_C,P-4_weight_mg,P-4_weight_percent
41.14254,4.0066,100.01301,41.29428,4.37078,99.88863,30.29216,7.96948,99.97413,40.683,4.15508,100.37261
41.2222,4.00689,100.02017,41.37589,4.37065,99.88573,30.36925,7.96938,99.97295,40.84636,4.1551,100.37316
41.30789,4.00629,100.00517,41.45515,4.37049,99.88205,30.45073,7.96952,99.9746,41.00944,4.15487,100.36776
41.39011,4.00571,99.99066,41.53714,4.37035,99.87897,30.5312,7.96981,99.97825,41.17488,4.1544,100.35689
41.47085,4.00581,99.99316,41.61688,4.37033,99.8783,30.61448,7.96987,99.97896,41.33866,4.15403,100.34827
41.55466,4.00652,100.01098,41.69866,4.3704,99.88009,30.69494,7.96972,99.97711,41.50276,4.15376,100.34211
41.63451,4.00703,100.02381,41.78156,4.37034,99.87858,30.77652,7.96952,99.97462,41.66922,4.15362,100.33884
41.71616,4.00673,100.01613,41.86287,4.37021,99.87565,30.85725,7.96948,99.97411,41.83515,4.15348,100.33548
41.79925,4.00587,99.99468,41.94198,4.37021,99.87558,30.93924,7.96971,99.97695,41.9976,4.15352,100.33648
41.88187,4.00584,99.99406,42.02244,4.3703,99.87773,31.02124,7.96991,99.97943,42.16324,4.15336,100.3327
41.9629,4.00669,100.01518,42.10476,4.37046,99.88146,31.10515,7.96975,99.97744,42.32802,4.15296,100.32341
42.04396,4.00716,100.02691,42.18442,4.37045,99.88105,31.18647,7.96957,99.97533,42.49538,4.15279,100.31958
42.12476,4.00667,100.01483,42.26719,4.37044,99.88093,31.26975,7.96969,99.97675,42.66322,4.15234,100.30925
42.20629,4.00586,99.99441,42.34532,4.37034,99.87865,31.35074,7.96987,99.97891,42.82648,4.15182,100.29706
42.28794,4.00568,99.99002,42.42746,4.37031,99.87787,31.43163,7.97004,99.98103,42.99328,4.15114,100.28134
42.3678,4.00599,99.99785,42.51104,4.37031,99.87801,31.5142,7.96996,99.98002,43.1588,4.15055,100.26762
42.4484,4.00617,100.00225,42.58674,4.37027,99.87696,31.59629,7.96976,99.97763,43.32403,4.15003,100.2555
42.53347,4.00559,99.98787,42.66644,4.37018,99.87494,31.67766,7.96974,99.97736,43.49035,4.14945,100.24225
42.61363,4.00483,99.96867,42.74929,4.37009,99.87293,31.76075,7.96981,99.97826,43.65711,4.14892,100.22994
42.69735,4.00457,99.96228,42.8297,4.37006,99.87225,31.84265,7.96988,99.97914,43.8235,4.14848,100.21975
42.77669,4.0048,99.96807,42.90969,4.37013,99.87394,31.9262,7.96972,99.97711,43.99131,4.14811,100.21108
42.86026,4.00496,99.97212,42.99042,4.37002,99.87133,32.00627,7.96952,99.97462,44.15694,4.14772,100.20213
42.94116,4.00486,99.96965,43.07175,4.36982,99.86679,32.09032,7.96944,99.97364,44.32494,4.14745,100.19587
