P-4_normalized_wavelength_nm,P-4_normalized_abs_au,D-4_normalized_wavelength_nm,D-4_normalized_abs_au,P-4_raw_wavelength_nm,P-4_raw_abs_au,D-4_raw_wavelength_nm,D-4_raw_abs_au
629.99268,0.00107,629.99268,0.00318,629.99268,1.00E-03,629.99268,0.00298
629.00012,0.00119,629.00012,0.00312,629.00012,0.00111,629.00012,0.00293
628.00714,0.0012,628.00714,0.00322,628.00714,0.00113,628.00714,0.00302
627.0141,0.00158,627.0141,0.00366,627.0141,0.00149,627.0141,0.00343
625.98395,0.00127,625.98395,0.00303,625.98395,0.00119,625.98395,0.00284
624.99017,0.00122,624.99017,0.00276,624.99017,0.00114,624.99017,0.00259
623.99628,9.73E-04,623.99628,0.00213,623.99628,9.12E-04,623.99628,0.002
623.00201,2.50E-04,623.00201,0.00137,623.00201,2.34E-04,623.00201,0.00129
622.00751,2.89E-04,622.00751,0.0012,622.00751,2.71E-04,622.00751,0.00112
621.01263,-3.44E-05,621.01263,0.00123,621.01263,-3.23E-05,621.01263,0.00116
620.01758,-4.33E-04,620.01758,8.48E-04,620.01758,-4.06E-04,620.01758,7.95E-04
618.98547,-7.67E-05,618.98547,3.50E-04,618.98547,-7.19E-05,618.98547,3.28E-04
617.98981,-3.05E-04,617.98981,6.13E-04,617.98981,-2.86E-04,617.98981,5.75E-04
616.9939,-5.39E-04,616.9939,6.79E-04,616.9939,-5.06E-04,616.9939,6.37E-04
615.9978,3.17E-06,615.9978,5.75E-04,615.9978,2.98E-06,615.9978,5.39E-04
615.00134,3.68E-04,615.00134,0.00117,615.00134,3.45E-04,615.00134,0.0011
614.0047,2.53E-04,614.0047,0.00112,614.0047,2.38E-04,614.0047,0.00105
613.00769,9.88E-04,613.00769,0.00193,613.00769,9.27E-04,613.00769,0.00181
612.0105,0.00145,612.0105,0.00211,612.0105,0.00136,612.0105,0.00198
611.013,0.0013,611.013,0.00204,611.013,0.00122,611.013,0.00191
610.01526,0.00173,610.01526,0.00201,610.01526,0.00162,610.01526,0.00189
609.01715,0.00174,609.01715,0.00223,609.01715,0.00163,609.01715,0.0021
607.98187,0.0021,607.98187,0.00221,607.98187,0.00197,607.98187,0.00207
606.98334,0.00245,606.98334,0.00268,606.98334,0.0023,606.98334,0.00251
605.9845,0.00232,605.9845,0.00233,605.9845,0.00218,605.9845,0.00218
604.98529,0.00203,604.98529,0.00162,604.98529,0.0019,604.98529,0.00152
603.98596,0.00223,603.98596,0.00185,603.98596,0.0021,603.98596,0.00174
602.98633,0.00163,602.98633,0.00128,602.98633,0.00153,602.98633,0.0012
601.98639,0.00201,601.98639,8.43E-04,601.98639,0.00188,601.98639,7.90E-04
600.98621,0.00196,600.98621,6.91E-04,600.98621,0.00184,600.98621,6.48E-04
599.98584,0.00156,599.98584,-6.36E-05,599.98584,0.00147,599.98584,-5.97E-05
598.98511,0.00205,598.98511,3.77E-04,598.98511,0.00193,598.98511,3.53E-04
597.98413,0.00241,597.98413,7.26E-04,597.98413,0.00226,597.98413,6.81E-04
596.98291,0.00268,596.98291,5.55E-04,596.98291,0.00251,596.98291,5.20E-04
596.01855,0.00325,596.01855,0.00105,596.01855,0.00305,596.01855,9.81E-04
595.01678,0.00391,595.01678,9.25E-04,595.01678,0.00367,595.01678,8.68E-04
594.01477,0.00471,594.01477,0.00161,594.01477,0.00442,594.01477,0.00151
593.01245,0.00538,593.01245,0.00176,593.01245,0.00504,593.01245,0.00165
592.01001,0.00662,592.01001,0.00224,592.01001,0.00621,592.01001,0.0021
591.0072,0.00714,591.0072,0.00281,591.0072,0.00669,591.0072,0.00263
590.00415,0.00839,590.00415,0.00335,590.00415,0.00787,590.00415,0.00315
589.00085,0.00882,589.00085,0.00316,589.00085,0.00827,589.00085,0.00297
587.99731,0.00969,587.99731,0.00317,587.99731,0.00909,587.99731,0.00297
586.99347,0.00973,586.99347,0.00322,586.99347,0.00913,586.99347,0.00302
585.98938,0.01102,585.98938,0.00301,585.98938,0.01034,585.98938,0.00283
584.98511,0.01154,584.98511,0.00286,584.98511,0.01083,584.98511,0.00268
584.0177,0.01262,584.0177,0.00261,584.0177,0.01183,584.0177,0.00245
583.01288,0.01358,583.01288,0.00236,583.01288,0.01273,583.01288,0.00221
582.00775,0.01505,582.00775,0.00252,582.00775,0.01412,582.00775,0.00236
581.00244,0.01618,581.00244,0.00251,581.00244,0.01518,581.00244,0.00235
579.99683,0.01849,579.99683,0.0027,579.99683,0.01734,579.99683,0.00253
578.99097,0.0201,578.99097,0.00267,578.99097,0.01885,578.99097,0.0025
577.98486,0.02222,577.98486,0.00328,577.98486,0.02084,577.98486,0.00308
577.01575,0.02466,577.01575,0.00397,577.01575,0.02312,577.01575,0.00373
576.00916,0.02685,576.00916,0.00408,576.00916,0.02518,576.00916,0.00383
575.00232,0.02925,575.00232,0.00475,575.00232,0.02744,575.00232,0.00445
573.99512,0.03164,573.99512,0.00482,573.99512,0.02968,573.99512,0.00452
572.98779,0.03388,572.98779,0.00522,572.98779,0.03178,572.98779,0.0049
572.01752,0.03572,572.01752,0.0052,572.01752,0.0335,572.01752,0.00488
571.00964,0.03744,571.00964,0.00569,571.00964,0.03511,571.00964,0.00534
570.00146,0.03845,570.00146,0.00519,570.00146,0.03606,570.00146,0.00486
568.9931,0.03955,568.9931,0.00465,568.9931,0.03709,568.9931,0.00436
567.98456,0.0404,567.98456,0.00501,567.98456,0.03789,567.98456,0.00469
567.01306,0.04049,567.01306,0.00469,567.01306,0.03797,567.01306,0.0044
566.00397,0.04076,566.00397,0.0045,566.00397,0.03823,566.00397,0.00422
564.99463,0.04127,564.99463,0.00475,564.99463,0.03871,564.99463,0.00446
563.98499,0.04096,563.98499,0.00452,563.98499,0.03842,563.98499,0.00424
563.01257,0.04135,563.01257,0.00496,563.01257,0.03878,563.01257,0.00465
562.00244,0.04129,562.00244,0.00543,562.00244,0.03873,562.00244,0.00509
560.99219,0.04096,560.99219,0.00564,560.99219,0.03842,560.99219,0.00529
559.98151,0.04098,559.98151,0.00607,559.98151,0.03843,559.98151,0.00569
559.00818,0.04162,559.00818,0.00674,559.00818,0.03903,559.00818,0.00632
557.99713,0.04166,557.99713,0.00725,557.99713,0.03907,557.99713,0.0068
556.9859,0.0406,556.9859,0.007,556.9859,0.03808,556.9859,0.00656
556.01172,0.04063,556.01172,0.0073,556.01172,0.03811,556.01172,0.00685
554.99994,0.03977,554.99994,0.00679,554.99994,0.0373,554.99994,0.00637
553.98792,0.03917,553.98792,0.00691,553.98792,0.03673,553.98792,0.00648
553.01318,0.0389,553.01318,0.00687,553.01318,0.03648,553.01318,0.00644
552.00061,0.0377,552.00061,0.00647,552.00061,0.03536,552.00061,0.00607
550.98792,0.03715,550.98792,0.00628,550.98792,0.03484,550.98792,0.00589
550.01251,0.03616,550.01251,0.00596,550.01251,0.03391,550.01251,0.00559
548.99921,0.03545,548.99921,0.00557,548.99921,0.03325,548.99921,0.00523
547.98578,0.0351,547.98578,0.00591,547.98578,0.03292,547.98578,0.00555
547.00964,0.03478,547.00964,0.00596,547.00964,0.03262,547.00964,0.00559
545.99573,0.03462,545.99573,0.00616,545.99573,0.03247,545.99573,0.00578
544.98151,0.03452,544.98151,0.00689,544.98151,0.03238,544.98151,0.00646
544.0047,0.03467,544.0047,0.00752,544.0047,0.03252,544.0047,0.00705
542.98999,0.03481,542.98999,0.00834,542.98999,0.03265,542.98999,0.00782
542.01276,0.03491,542.01276,0.00891,542.01276,0.03274,542.01276,0.00835
540.99762,0.03485,540.99762,0.00906,540.99762,0.03268,540.99762,0.0085
539.9823,0.03441,539.9823,0.00916,539.9823,0.03227,539.9823,0.00859
539.00439,0.03403,539.00439,0.00924,539.00439,0.03192,539.00439,0.00867
537.98846,0.03336,537.98846,0.00917,537.98846,0.03129,537.98846,0.0086
537.01007,0.03292,537.01007,0.00881,537.01007,0.03087,537.01007,0.00827
535.99377,0.03236,535.99377,0.00822,535.99377,0.03035,535.99377,0.00771
535.01495,0.03205,535.01495,0.00838,535.01495,0.03006,535.01495,0.00786
533.99823,0.03165,533.99823,0.0083,533.99823,0.02968,533.99823,0.00779
532.98126,0.03164,532.98126,0.00826,532.98126,0.02967,532.98126,0.00775
532.00171,0.03156,532.00171,0.00852,532.00171,0.0296,532.00171,0.00799
530.98431,0.03175,530.98431,0.00896,530.98431,0.02977,530.98431,0.0084
530.00433,0.03173,530.00433,0.00935,530.00433,0.02976,530.00433,0.00877
528.98645,0.03214,528.98645,0.00999,528.98645,0.03014,528.98645,0.00937
528.00604,0.03267,528.00604,0.01057,528.00604,0.03064,528.00604,0.00991
526.98761,0.0326,526.98761,0.01076,526.98761,0.03057,526.98761,0.01009
526.00677,0.03249,526.00677,0.01104,526.00677,0.03047,526.00677,0.01035
524.98804,0.03273,524.98804,0.01143,524.98804,0.0307,524.98804,0.01072
524.00671,0.03239,524.00671,0.01137,524.00671,0.03037,524.00671,0.01066
522.98749,0.03186,522.98749,0.01131,522.98749,0.02988,522.98749,0.01061
522.0058,0.03155,522.0058,0.01171,522.0058,0.02959,522.0058,0.01098
520.98608,0.03097,520.98608,0.01132,520.98608,0.02904,520.98608,0.01062
520.00391,0.03049,520.00391,0.01125,520.00391,0.02859,520.00391,0.01055
518.98376,0.03034,518.98376,0.01121,518.98376,0.02846,518.98376,0.01052
518.00122,0.03007,518.00122,0.01127,518.00122,0.02821,518.00122,0.01057
517.01837,0.03025,517.01837,0.0117,517.01837,0.02837,517.01837,0.01097
515.99762,0.0304,515.99762,0.01182,515.99762,0.02851,515.99762,0.01109
515.01434,0.0306,515.01434,0.01257,515.01434,0.0287,515.01434,0.01178
513.99316,0.03065,513.99316,0.0126,513.99316,0.02874,513.99316,0.01182
513.00952,0.03042,513.00952,0.01301,513.00952,0.02853,513.00952,0.0122
511.98776,0.03061,511.98776,0.01298,511.98776,0.0287,511.98776,0.01218
511.00369,0.03002,511.00369,0.01306,511.00369,0.02816,511.00369,0.01225
509.98157,0.02969,509.98157,0.01278,509.98157,0.02784,509.98157,0.01199
508.99707,0.02918,508.99707,0.01252,508.99707,0.02737,508.99707,0.01174
508.01236,0.02871,508.01236,0.01254,508.01236,0.02692,508.01236,0.01176
506.98956,0.02839,506.98956,0.01261,506.98956,0.02663,506.98956,0.01182
506.00446,0.02824,506.00446,0.0129,506.00446,0.02649,506.00446,0.01209
504.98117,0.02841,504.98117,0.013,504.98117,0.02665,504.98117,0.01219
503.9957,0.0283,503.9957,0.01357,503.9957,0.02655,503.9957,0.01273
503.00998,0.02856,503.00998,0.0137,503.00998,0.02679,503.00998,0.01285
501.98605,0.02893,501.98605,0.01441,501.98605,0.02713,501.98605,0.01351
500.99988,0.0291,500.99988,0.01471,500.99988,0.02729,500.99988,0.01379
500.01349,0.02948,500.01349,0.01516,500.01349,0.02764,500.01349,0.01421
498.98898,0.02946,498.98898,0.01515,498.98898,0.02763,498.98898,0.01421
498.0022,0.02948,498.0022,0.01537,498.0022,0.02764,498.0022,0.01441
497.01517,0.02962,497.01517,0.01537,497.01517,0.02778,497.01517,0.01441
495.99005,0.02938,495.99005,0.01518,495.99005,0.02755,495.99005,0.01424
495.00269,0.02916,495.00269,0.01482,495.00269,0.02734,495.00269,0.0139
494.01508,0.02909,494.01508,0.01504,494.01508,0.02728,494.01508,0.0141
492.98926,0.02911,492.98926,0.01521,492.98926,0.0273,492.98926,0.01427
492.00128,0.0294,492.00128,0.01566,492.00128,0.02757,492.00128,0.01468
491.01297,0.02971,491.01297,0.0159,491.01297,0.02787,491.01297,0.01492
489.98663,0.03029,489.98663,0.01676,489.98663,0.02841,489.98663,0.01571
488.99796,0.03074,488.99796,0.01749,488.99796,0.02883,488.99796,0.01641
488.00916,0.03117,488.00916,0.01791,488.00916,0.02924,488.00916,0.01679
486.98212,0.03148,486.98212,0.01827,486.98212,0.02953,486.98212,0.01714
485.99286,0.03167,485.99286,0.01884,485.99286,0.0297,485.99286,0.01767
485.00348,0.03211,485.00348,0.01922,485.00348,0.03012,485.00348,0.01802
484.01389,0.03205,484.01389,0.01884,484.01389,0.03005,484.01389,0.01767
482.98593,0.03188,482.98593,0.01855,482.98593,0.0299,482.98593,0.0174
481.99591,0.0322,481.99591,0.01901,481.99591,0.0302,481.99591,0.01783
481.00574,0.0326,481.00574,0.01921,481.00574,0.03057,481.00574,0.01802
480.01526,0.03274,480.01526,0.01955,480.01526,0.03071,480.01526,0.01833
478.9866,0.03328,478.9866,0.0199,478.9866,0.03122,478.9866,0.01866
477.99579,0.03368,477.99579,0.02047,477.99579,0.03159,477.99579,0.01919
477.00479,0.03394,477.00479,0.02095,477.00479,0.03183,477.00479,0.01965
476.01361,0.03465,476.01361,0.02154,476.01361,0.0325,476.01361,0.0202
474.98407,0.03489,474.98407,0.02206,474.98407,0.03272,474.98407,0.02069
473.99249,0.03485,473.99249,0.02222,473.99249,0.03269,473.99249,0.02084
473.00073,0.03515,473.00073,0.02254,473.00073,0.03297,473.00073,0.02114
472.00876,0.03523,472.00876,0.02283,472.00876,0.03305,472.00876,0.02142
471.01654,0.03498,471.01654,0.02308,471.01654,0.03281,471.01654,0.02164
469.98605,0.03504,469.98605,0.02337,469.98605,0.03287,469.98605,0.02192
468.99344,0.03509,468.99344,0.02356,468.99344,0.03291,468.99344,0.0221
468.0007,0.03508,468.0007,0.02384,468.0007,0.0329,468.0007,0.02236
467.00778,0.03507,467.00778,0.0241,467.00778,0.03289,467.00778,0.02261
466.01465,0.03525,466.01465,0.02464,466.01465,0.03306,466.01465,0.0231
464.98312,0.03553,464.98312,0.02487,464.98312,0.03332,464.98312,0.02333
463.98959,0.03517,463.98959,0.02527,463.98959,0.03298,463.98959,0.0237
462.99585,0.03496,462.99585,0.0256,462.99585,0.03279,462.99585,0.02401
462.00198,0.03484,462.00198,0.02618,462.00198,0.03267,462.00198,0.02455
461.0079,0.03443,461.0079,0.02635,461.0079,0.03229,461.0079,0.02471
460.01367,0.03414,460.01367,0.02648,460.01367,0.03202,460.01367,0.02483
458.98093,0.03372,458.98093,0.02671,458.98093,0.03162,458.98093,0.02505
457.9863,0.03373,457.9863,0.02734,457.9863,0.03164,457.9863,0.02564
456.99149,0.03373,456.99149,0.02808,456.99149,0.03164,456.99149,0.02633
455.9964,0.03357,455.9964,0.02877,455.9964,0.03148,455.9964,0.02698
455.00125,0.03358,455.00125,0.02946,455.00125,0.0315,455.00125,0.02763
454.00586,0.03352,454.00586,0.03019,454.00586,0.03144,454.00586,0.02832
453.01025,0.03344,453.01025,0.03067,453.01025,0.03136,453.01025,0.02876
452.0145,0.0334,452.0145,0.03119,452.0145,0.03133,452.0145,0.02925
451.01855,0.03336,451.01855,0.03178,451.01855,0.03128,451.01855,0.02981
449.98404,0.03318,449.98404,0.03228,449.98404,0.03112,449.98404,0.03027
448.98773,0.03312,448.98773,0.03302,448.98773,0.03107,448.98773,0.03097
447.99124,0.03324,447.99124,0.03377,447.99124,0.03117,447.99124,0.03167
446.9946,0.03348,446.9946,0.03468,446.9946,0.0314,446.9946,0.03253
445.99768,0.03364,445.99768,0.03568,445.99768,0.03155,445.99768,0.03346
445.00064,0.03382,445.00064,0.03675,445.00064,0.03172,445.00064,0.03447
