P-3_conc_1_wavelength_nm,P-3_conc_1_abs_au,P-3_conc_2_wavelength_nm,P-3_conc_2_abs_au,P-3_conc_3_wavelength_nm,P-3_conc_3_abs_au,P-3_conc_4_wavelength_nm,P-3_conc_4_abs_au,P-3_conc_5_wavelength_nm,P-3_conc_5_abs_au,P-3_conc_1_em_wavelength_nm,P-3_conc_1_em_intensity,P-3_conc_2_em_wavelength_nm,P-3_conc_2_em_intensity,P-3_conc_3_em_wavelength_nm,P-3_conc_3_em_intensity,P-3_conc_4_em_wavelength_nm,P-3_conc_4_em_intensity,P-3_conc_5_em_wavelength_nm,P-3_conc_5_em_intensity,2-AP_conc_1_wavelength_nm,2-AP_conc_1_abs_au,2-AP_conc_2_wavelength_nm,2-AP_conc_2_abs_au,2-AP_conc_3_wavelength_nm,2-AP_conc_3_abs_au,2-AP_conc_4_wavelength_nm,2-AP_conc_4_abs_au,2-AP_conc_5_wavelength_nm,2-AP_conc_5_abs_au,2-AP_conc_1_em_wavelength_nm,2-AP_conc_1_em_intensity,2-AP_conc_2_em_wavelength_nm,2-AP_conc_2_em_intensity,2-AP_conc_3_em_wavelength_nm,2-AP_conc_3_em_intensity,2-AP_conc_4_em_wavelength_nm,2-AP_conc_4_em_intensity,2-AP_conc_5_em_wavelength_nm,2-AP_conc_5_em_intensity,ACN_em_background_wavelength_nm,ACN_em_background_intensity
795.0159302,-0.000231721,795.0159302,-0.000631469,795.0159302,-0.000404254,795.0159302,-0.002544577,795.0159302,0.002943376,315,1.23E+03,315,1.30E+03,315,1.42E+03,315,1.74E+03,315,1.93E+03,595.0166626,-0.000291689,595.0166626,0.000210038,595.0166626,-0.001229034,595.0166626,-0.001047067,595.0166626,-0.000404875,315,1.08E+05,315,1.01E+05,315,8.21E+04,315,6.02E+04,315,3.56E+04,315,1.41E+03
794.4943848,-0.000695827,794.4943848,-0.002221177,794.4943848,0.00117544,794.4943848,-0.001178386,794.4943848,0.001883009,315.5,1.13E+03,315.5,1.21E+03,315.5,1.37E+03,315.5,1.65E+03,315.5,1.69E+03,594.4966431,-0.000302812,594.4966431,0.000218869,594.4966431,-0.001042832,594.4966431,-0.000947634,594.4966431,-0.00062175,315.5,1.22E+05,315.5,1.13E+05,315.5,9.25E+04,315.5,6.71E+04,315.5,3.97E+04,315.5,1.39E+03
794.0074463,-0.000907132,794.0074463,-0.001742663,794.0074463,0.001015891,794.0074463,-0.000869984,794.0074463,0.001660779,316,1.15E+03,316,1.09E+03,316,1.24E+03,316,1.71E+03,316,1.75E+03,594.0137939,-0.000494813,594.0137939,0.000192557,594.0137939,-0.001142191,594.0137939,-0.000646926,594.0137939,-0.000344716,316,1.33E+05,316,1.25E+05,316,1.01E+05,316,7.44E+04,316,4.37E+04,316,1.28E+03
793.4857788,-0.000451786,793.4857788,-0.002403682,793.4857788,-0.000377047,793.4857788,-0.001210396,793.4857788,0.001211728,316.5,1.10E+03,316.5,1.00E+03,316.5,1.31E+03,316.5,1.46E+03,316.5,1.58E+03,593.4937134,-0.000339802,593.4937134,0.000173289,593.4937134,-0.001135168,593.4937134,-0.001009208,593.4937134,-0.000540266,316.5,1.48E+05,316.5,1.38E+05,316.5,1.13E+05,316.5,8.27E+04,316.5,4.89E+04,316.5,1.16E+03
792.9987183,0.000207448,792.9987183,-0.001397507,792.9987183,5.01E-05,792.9987183,-0.001557197,792.9987183,0.002135319,317,1.14E+03,317,1.14E+03,317,1.32E+03,317,1.74E+03,317,1.57E+03,593.0106812,-0.000295259,593.0106812,-0.000197827,593.0106812,-0.001181277,593.0106812,-0.001321175,593.0106812,-0.000837587,317,1.62E+05,317,1.50E+05,317,1.25E+05,317,9.07E+04,317,5.30E+04,317,1.22E+03
792.5115356,-0.001244521,792.5115356,-0.001796184,792.5115356,0.000290771,792.5115356,-0.000599157,792.5115356,0.001513806,317.5,1.21E+03,317.5,1.25E+03,317.5,1.50E+03,317.5,1.81E+03,317.5,1.66E+03,592.4904785,-0.00048597,592.4904785,0.000418959,592.4904785,-0.000961789,592.4904785,-0.001339292,592.4904785,-0.000539336,317.5,1.79E+05,317.5,1.67E+05,317.5,1.37E+05,317.5,1.01E+05,317.5,5.89E+04,317.5,1.30E+03
791.989502,-0.001793142,791.989502,-0.003070688,791.989502,-0.000697171,791.989502,-0.002143444,791.989502,0.000579663,318,1.29E+03,318,1.26E+03,318,1.61E+03,318,1.90E+03,318,1.77E+03,592.0073853,-0.000225098,592.0073853,0.000513363,592.0073853,-0.000959929,592.0073853,-0.001237707,592.0073853,-0.000422874,318,1.94E+05,318,1.82E+05,318,1.48E+05,318,1.08E+05,318,6.41E+04,318,1.40E+03
791.5021362,-0.002176363,791.5021362,-0.002299204,791.5021362,-0.000309175,791.5021362,-0.002570002,791.5021362,0.001598861,318.5,1.37E+03,318.5,1.48E+03,318.5,1.73E+03,318.5,2.02E+03,318.5,2.05E+03,591.4869995,-0.000151458,591.4869995,0.000781838,591.4869995,-0.001086265,591.4869995,-0.000673807,591.4869995,-1.51E-05,318.5,2.11E+05,318.5,1.96E+05,318.5,1.62E+05,318.5,1.18E+05,318.5,6.92E+04,318.5,1.50E+03
791.0147095,-0.000917154,791.0147095,-0.001182826,791.0147095,0.001305785,791.0147095,-0.000341302,791.0147095,0.002065895,319,1.62E+03,319,1.58E+03,319,1.88E+03,319,2.26E+03,319,2.14E+03,591.0037842,-0.000178783,591.0037842,0.000309681,591.0037842,-0.001346518,591.0037842,-0.001524232,591.0037842,-0.000417133,319,2.29E+05,319,2.11E+05,319,1.75E+05,319,1.28E+05,319,7.58E+04,319,1.62E+03
790.4923706,-0.000853346,790.4923706,-0.00138378,790.4923706,0.001029955,790.4923706,-0.000373633,790.4923706,0.003560519,319.5,1.61E+03,319.5,1.63E+03,319.5,2.09E+03,319.5,2.24E+03,319.5,2.11E+03,590.4832153,-0.000458664,590.4832153,-9.76E-05,590.4832153,-0.00122702,590.4832153,-0.001588045,590.4832153,-0.000419874,319.5,2.46E+05,319.5,2.29E+05,319.5,1.90E+05,319.5,1.38E+05,319.5,8.12E+04,319.5,1.67E+03
790.0047607,-0.000655145,790.0047607,-0.001781799,790.0047607,-0.001187318,790.0047607,-0.000682542,790.0047607,0.002761188,320,1.59E+03,320,1.57E+03,320,2.15E+03,320,2.18E+03,320,1.87E+03,589.999939,-0.000160153,589.999939,0.000160833,589.999939,-0.000867194,589.999939,-0.00158397,589.999939,-0.000157772,320,2.61E+05,320,2.44E+05,320,2.02E+05,320,1.47E+05,320,8.64E+04,320,1.57E+03
789.5169678,0.000539306,789.5169678,-0.002947396,789.5169678,0.001213208,789.5169678,-0.002624347,789.5169678,0.000749683,320.5,1.42E+03,320.5,1.54E+03,320.5,1.90E+03,320.5,2.08E+03,320.5,1.89E+03,589.5164185,-0.000288533,589.5164185,7.25E-07,589.5164185,-0.00114374,589.5164185,-0.001388837,589.5164185,-0.000166984,320.5,2.77E+05,320.5,2.58E+05,320.5,2.12E+05,320.5,1.54E+05,320.5,9.06E+04,320.5,1.47E+03
788.9942627,0.000526685,788.9942627,0.000222987,788.9942627,0.000922468,788.9942627,-0.000173091,788.9942627,0.002993313,321,1.48E+03,321,1.30E+03,321,1.83E+03,321,2.00E+03,321,1.67E+03,588.9957275,-0.000478989,588.9957275,-0.000184942,588.9957275,-0.001424805,588.9957275,-0.001891968,588.9957275,-0.000441804,321,2.95E+05,321,2.74E+05,321,2.25E+05,321,1.64E+05,321,9.45E+04,321,1.24E+03
